PMEZMH;Цемент;шт.;440;М500;М500;Общестроительные материалы;8;34;Цемент Евроцемент М500 Д0 ЦЕМ I 42,5 50 кг;ы
BPV4MM;Пленка техническая;шт.;8;Изостронг;Изостронг;Общестроительные материалы;8;2;Пленка техническая полиэтиленовая Изостронг 60 мк 3 м рукав 1,5 м, пог.м;BPV4MM.jpg
JVL42J;Пленка техническая;шт.;13;Изостронг;Изостронг;Общестроительные материалы;4;34;Пленка техническая полиэтиленовая Изостронг 100 мк 3 м рукав 1,5 м, пог.м;JVL42J.jpg
F895RB;Песок строительный;шт.;102;Knauf;Knauf;Общестроительные материалы;6;7;Песок строительный 50 кг;F895RB.jpg
3XBOTN;Керамзит фракция;шт.;110;MixMaster;MixMaster;Общестроительные материалы;5;21;Керамзит фракция 10-20 мм 0,05 куб.м;3XBOTN.jpg
3L7RCZ;Газобетон;шт.;7400;ЛСР;ЛСР;Стеновые и фасадные материалы;2;20;Газобетон ЛСР 100х250х625 мм D400;3L7RCZ.jpg
S72AM3;Пазогребневая плита ;шт.;500;ВОЛМА;ВОЛМА;Стеновые и фасадные материалы;5;35;Пазогребневая плита ВОЛМА Гидро 667х500х80 мм полнотелая;S72AM3.jpg
2G3280;Угол наружный;шт.;795;Vinylon;Vinylon;Стеновые и фасадные материалы;9;20;Угол наружный Vinylon 3050 мм серо-голубой;2G3280.jpg
MIO8YV;Кирпич;шт.;30;ВОЛМА;ВОЛМА;Стеновые и фасадные материалы;9;31;Кирпич рядовой Боровичи полнотелый М150 250х120х65 мм 1NF;MIO8YV.jpg
UER2QD;Скоба для пазогребневой плиты;шт.;25;Knauf;Knauf;Стеновые и фасадные материалы;8;27;Скоба для пазогребневой плиты Knauf С1 120х100 мм;UER2QD.jpg
ZR70B4;Кирпич;шт.;16;Павловский завод ;Павловский завод ;Стеновые и фасадные материалы;3;0;Кирпич рядовой силикатный Павловский завод полнотелый М200 250х120х65 мм 1NF;
LPDDM4;Штукатурка гипсовая;шт.;500;Knauf;Knauf;Сухие строительные смеси и гидроизоляция;6;38;Штукатурка гипсовая Knauf Ротбанд 30 кг;
LQ48MW;Штукатурка гипсовая;шт.;462;Weber;Weber;Сухие строительные смеси и гидроизоляция;6;33;Штукатурка гипсовая Knauf МП-75 машинная 30 кг;
O43COU;Шпаклевка;шт.;750;ВОЛМА;ВОЛМА;Сухие строительные смеси и гидроизоляция;1;16;Шпаклевка полимерная Weber.vetonit LR + для сухих помещений белая 20 кг;
M26EXW;Клей для плитки, керамогранита и камня;шт.;340;Knauf;Knauf;Сухие строительные смеси и гидроизоляция;8;0;Клей для плитки, керамогранита и камня Крепс Усиленный серый (класс С1) 25 кг;
K0YACK;Смесь цементно-песчаная;шт.;160;MixMaster;MixMaster;Сухие строительные смеси и гидроизоляция;8;19;Смесь цементно-песчаная (ЦПС) 300 по ТУ MixMaster Универсал 25 кг;
ASPXSG;Ровнитель;шт.;711;Weber;Weber;Сухие строительные смеси и гидроизоляция;10;20;Ровнитель (наливной пол) финишный Weber.vetonit 4100 самовыравнивающийся высокопрочный 20 кг;
ZKQ5FF;Лезвие для ножа ;шт.;65;Hesler;Hesler;Ручной инструмент;6;6;Лезвие для ножа Hesler 18 мм прямое (10 шт.);
4WZEOT;Лезвие для ножа ;шт.;110;Armero;Armero;Ручной инструмент;6;17;Лезвие для ножа Armero 18 мм прямое (10 шт.);
4JR1HN;Шпатель;шт.;26;Hesler;Hesler;Ручной инструмент;6;7;Шпатель малярный 100 мм с пластиковой ручкой;
Z3XFSP;Нож строительный ;шт.;63;Hesler;Hesler;Ручной инструмент;8;5;Нож строительный Hesler 18 мм с ломающимся лезвием пластиковый корпус;
I6MH89;Валик;шт.;326;Wenzo Roma;Wenzo Roma;Ручной инструмент;12;3;Валик Wenzo Roma полиакрил 250 мм ворс 18 мм для красок грунтов и антисептиков на водной основе с рукояткой;
83M5ME;Кисть;шт.;122;Armero;Armero;Ручной инструмент;9;26;Кисть плоская смешанная щетина 100х12 мм для красок и антисептиков на водной основе;
61PGH3;Очки защитные;шт.;184;KILIMGRIN;KILIMGRIN;Защита лица, глаз, головы;6;25;Очки защитные Delta Plus KILIMANDJARO (KILIMGRIN) открытые с прозрачными линзами;
GN6ICZ;Каска защитная ;шт.;154;Исток;Исток;Защита лица, глаз, головы;15;8;Каска защитная Исток (КАС001О) оранжевая;
Z3LO0U;Очки защитные ;шт.;228;RUIZ;RUIZ;Защита лица, глаз, головы;9;11;Очки защитные Delta Plus RUIZ (RUIZ1VI) закрытые с прозрачными линзами;
QHNOKR;Маска защитная;шт.;251;Исток;Исток;Защита лица, глаз, головы;2;22;Маска защитная Исток (ЩИТ001) ударопрочная и термостойкая;
EQ6RKO;Подшлемник;шт.;36;Husqvarna;Husqvarna;Защита лица, глаз, головы;17;22;Подшлемник для каски одноразовый;
81F1WG;Каска защитная;шт.;1500;Delta;Delta;Защита лица, глаз, головы;2;13;Каска защитная Delta Plus BASEBALL DIAMOND V UP (DIAM5UPBCFLBS) белая;
0YGHZ7;Очки защитные ;шт.;700;Husqvarna;Husqvarna;Защита лица, глаз, головы;9;36;Очки защитные Husqvarna Clear (5449638-01) открытые с прозрачными линзами;

